CODE,CODE_EN_DES,CODE_VI_DES,HSCODE,Manual
131070703,"ENCLOSURE, TOP, 90, DARK",V? B?O V? (NH?A),39269059,V? B?O V? (NH?A)
131136212,"INTEG STAND ENDCAP, LIGHT MIC",V? B?O V? (NH?A),39269059,V? B?O V? (NH?A)
298069200,"ILLUMINATION LENS, FIREFLY",KÍNH (NH?A),39269059,KÍNH (NH?A)
298070900,"GREEN SPOT LENS, FIREFLY",KÍNH (NH?A),39269059,KÍNH (NH?A)
770266901,"CABLE, USB, OUTPUT, 2M, NINJA",DÂY CÁP ?I?N,85444922,DÂY CÁP ?I?N
770269800,"CABLE,RS232,DB9, OUTPUT. 2M, NINJA",DÂY CÁP ?I?N,85444922,DÂY CÁP ?I?N
298068200,OBJECTIVE ASSY MICHELANGELO,KHUNG ?? (NH?A),39269059,KHUNG ?? (NH?A)
298069100,"AIMING LENS, FIREFLY",KÍNH (NH?A),39269059,KÍNH (NH?A)
710035000,LENS PIPE ASSY NEON,KHUNG ?? (NH?A),39269059,KHUNG ?? (NH?A)
203007022,"TRIGGER, HP MIC",NÚT NH?N (NH?A),39269059,NÚT NH?N (NH?A)
700316100,"TOP COVER CORDED ASSY HP, MIC",V? B?O V? (NH?A),39269059,V? B?O V? (NH?A)
131136801,"CHASSIS, FIREFLY",KHUNG ?? (H?P KIM K?M) gias,79070099,KHUNG ?? (H?P KIM K?M)
131143300,"HOUSING, GREEN SPOT, FIREFLY",KHUNG ?? (NH?A),39269059,KHUNG ?? (NH?A)
163274487,"BODY MARK LABEL,QD2430-BK",NHÃN (NH?A MI?NG),39199099,NHÃN (NH?A MI?NG)
944350003,MEMOR 10 E41AC04FL1FT1AN,MÁY ??C MÃ V?CH,84719010,MÁY ??C MÃ V?CH
163308251,"TOP COVER OVERLAY,LOGO BAYSCAN",V? B?O V? (NH?A),39269059,V? B?O V? (NH?A)
632016001,$ FLASH MOTHER BOARD M220 V 1.6.0 REV B,M?CH ?I?N T? TÍCH H?P,85423100,M?CH ?I?N T? TÍCH H?P
632016003,FLASH MOTHER BOARD M220 V 1.6.3,M?CH ?I?N T? TÍCH H?P,85423100,M?CH ?I?N T? TÍCH H?P
10000898,"SCR,FMS+6X30 SST,ROHS",?C VÍT,73181590,?C VÍT
132112301,CB-1123 COVER M220,KHUNG ?? (NHÔM),76169990,KHUNG ?? (NHÔM)
278189400,"SUPPORT,HARDWARE QD2430 LIGABUE-2",KHUNG ?? (NH?A),39269059,KHUNG ?? (NH?A)
004018002,"ANTENNA CONNECTOR,SMD,MS-156-NB",?NG-TEN,85291099,?NG-TEN
009000091,"STRIP F    2P P.2,54 H=4,1 SMD",??U N?I,85366939,??U N?I
019309043,CAP FOR CONN. ETH M12 IP67,T? ?I?N,85322400,T? ?I?N
131139102,"STAND,MGL1500I",KHUNG ?? (NHÔM),76169990,KHUNG ?? (NHÔM)
